pair,word,selected_synset,relation,related_synset
assignment,house,house.n.01,first_hypernym,building.n.01
assignment,house,house.n.01,immediate_hyponym,beach_house.n.01
assignment,house,house.n.01,immediate_hyponym,boarding_house.n.01
assignment,house,house.n.01,immediate_hyponym,bungalow.n.01
assignment,house,house.n.01,immediate_hyponym,cabin.n.02
assignment,house,house.n.01,immediate_hyponym,chalet.n.01
assignment,house,house.n.01,immediate_hyponym,chapterhouse.n.02
assignment,house,house.n.01,immediate_hyponym,country_house.n.01
assignment,house,house.n.01,immediate_hyponym,detached_house.n.01
assignment,house,house.n.01,immediate_hyponym,dollhouse.n.01
assignment,house,house.n.01,immediate_hyponym,duplex_house.n.01
assignment,house,house.n.01,immediate_hyponym,farmhouse.n.01
assignment,house,house.n.01,immediate_hyponym,gatehouse.n.01
assignment,house,house.n.01,immediate_hyponym,guesthouse.n.01
assignment,house,house.n.01,immediate_hyponym,hacienda.n.02
assignment,house,house.n.01,immediate_hyponym,lodge.n.04
assignment,house,house.n.01,immediate_hyponym,lodging_house.n.01
assignment,house,house.n.01,immediate_hyponym,maisonette.n.02
assignment,house,house.n.01,immediate_hyponym,mansion.n.02
assignment,house,house.n.01,immediate_hyponym,ranch_house.n.01
assignment,house,house.n.01,immediate_hyponym,residence.n.02
assignment,house,house.n.01,immediate_hyponym,row_house.n.01
assignment,house,house.n.01,immediate_hyponym,safe_house.n.01
assignment,house,house.n.01,immediate_hyponym,saltbox.n.01
assignment,house,house.n.01,immediate_hyponym,sod_house.n.01
assignment,house,house.n.01,immediate_hyponym,solar_house.n.01
assignment,house,house.n.01,immediate_hyponym,tract_house.n.01
assignment,house,house.n.01,immediate_hyponym,villa.n.02
assignment,house,house.n.01,transitive_hyponym,abbey.n.02
assignment,house,house.n.01,transitive_hyponym,abbey.n.03
assignment,house,house.n.01,transitive_hyponym,alcazar.n.01
assignment,house,house.n.01,transitive_hyponym,beach_house.n.01
assignment,house,house.n.01,transitive_hyponym,bed_and_breakfast.n.01
assignment,house,house.n.01,transitive_hyponym,boarding_house.n.01
assignment,house,house.n.01,transitive_hyponym,brownstone.n.02
assignment,house,house.n.01,transitive_hyponym,bungalow.n.01
assignment,house,house.n.01,transitive_hyponym,cabin.n.02
assignment,house,house.n.01,transitive_hyponym,chalet.n.01
assignment,house,house.n.01,transitive_hyponym,chapterhouse.n.02
assignment,house,house.n.01,transitive_hyponym,charterhouse.n.01
assignment,house,house.n.01,transitive_hyponym,chateau.n.01
assignment,house,house.n.01,transitive_hyponym,convent.n.01
assignment,house,house.n.01,transitive_hyponym,country_house.n.01
assignment,house,house.n.01,transitive_hyponym,court.n.09
assignment,house,house.n.01,transitive_hyponym,dacha.n.01
assignment,house,house.n.01,transitive_hyponym,deanery.n.01
assignment,house,house.n.01,transitive_hyponym,detached_house.n.01
assignment,house,house.n.01,transitive_hyponym,dollhouse.n.01
assignment,house,house.n.01,transitive_hyponym,duplex_house.n.01
assignment,house,house.n.01,transitive_hyponym,farmhouse.n.01
assignment,house,house.n.01,transitive_hyponym,flophouse.n.01
assignment,house,house.n.01,transitive_hyponym,friary.n.01
assignment,house,house.n.01,transitive_hyponym,gatehouse.n.01
assignment,house,house.n.01,transitive_hyponym,glebe_house.n.01
assignment,house,house.n.01,transitive_hyponym,guesthouse.n.01
assignment,house,house.n.01,transitive_hyponym,hacienda.n.02
assignment,house,house.n.01,transitive_hyponym,lamasery.n.01
assignment,house,house.n.01,transitive_hyponym,lodge.n.03
assignment,house,house.n.01,transitive_hyponym,lodge.n.04
assignment,house,house.n.01,transitive_hyponym,lodging_house.n.01
assignment,house,house.n.01,transitive_hyponym,log_cabin.n.01
assignment,house,house.n.01,transitive_hyponym,maisonette.n.02
assignment,house,house.n.01,transitive_hyponym,manor.n.01
assignment,house,house.n.01,transitive_hyponym,manse.n.02
assignment,house,house.n.01,transitive_hyponym,mansion.n.02
assignment,house,house.n.01,transitive_hyponym,monastery.n.01
assignment,house,house.n.01,transitive_hyponym,nunnery.n.01
assignment,house,house.n.01,transitive_hyponym,palace.n.01
assignment,house,house.n.01,transitive_hyponym,palace.n.04
assignment,house,house.n.01,transitive_hyponym,parsonage.n.01
assignment,house,house.n.01,transitive_hyponym,priory.n.01
assignment,house,house.n.01,transitive_hyponym,ranch_house.n.01
assignment,house,house.n.01,transitive_hyponym,religious_residence.n.01
assignment,house,house.n.01,transitive_hyponym,residence.n.02
assignment,house,house.n.01,transitive_hyponym,row_house.n.01
assignment,house,house.n.01,transitive_hyponym,safe_house.n.01
assignment,house,house.n.01,transitive_hyponym,saltbox.n.01
assignment,house,house.n.01,transitive_hyponym,shooting_lodge.n.01
assignment,house,house.n.01,transitive_hyponym,sod_house.n.01
assignment,house,house.n.01,transitive_hyponym,solar_house.n.01
assignment,house,house.n.01,transitive_hyponym,stately_home.n.01
assignment,house,house.n.01,transitive_hyponym,summer_house.n.01
assignment,house,house.n.01,transitive_hyponym,terraced_house.n.01
assignment,house,house.n.01,transitive_hyponym,tract_house.n.01
assignment,house,house.n.01,transitive_hyponym,villa.n.02
assignment,house,house.n.01,transitive_hyponym,villa.n.03
assignment,house,house.n.01,transitive_hyponym,villa.n.04
assignment,train,train.n.01,first_hypernym,public_transport.n.01
assignment,train,train.n.01,immediate_hyponym,boat_train.n.01
assignment,train,train.n.01,immediate_hyponym,car_train.n.01
assignment,train,train.n.01,immediate_hyponym,freight_train.n.01
assignment,train,train.n.01,immediate_hyponym,hospital_train.n.01
assignment,train,train.n.01,immediate_hyponym,mail_train.n.01
assignment,train,train.n.01,immediate_hyponym,passenger_train.n.01
assignment,train,train.n.01,immediate_hyponym,streamliner.n.01
assignment,train,train.n.01,immediate_hyponym,subway_train.n.01
assignment,train,train.n.01,transitive_hyponym,boat_train.n.01
assignment,train,train.n.01,transitive_hyponym,bullet_train.n.01
assignment,train,train.n.01,transitive_hyponym,car_train.n.01
assignment,train,train.n.01,transitive_hyponym,commuter.n.01
assignment,train,train.n.01,transitive_hyponym,freight_liner.n.01
assignment,train,train.n.01,transitive_hyponym,freight_train.n.01
assignment,train,train.n.01,transitive_hyponym,hospital_train.n.01
assignment,train,train.n.01,transitive_hyponym,mail_train.n.01
assignment,train,train.n.01,transitive_hyponym,passenger_train.n.01
assignment,train,train.n.01,transitive_hyponym,streamliner.n.01
assignment,train,train.n.01,transitive_hyponym,subway_train.n.01
student,potato,potato.n.01,first_hypernym,root_vegetable.n.01
student,potato,potato.n.01,immediate_hyponym,baked_potato.n.01
student,potato,potato.n.01,immediate_hyponym,french_fries.n.01
student,potato,potato.n.01,immediate_hyponym,home_fries.n.01
student,potato,potato.n.01,immediate_hyponym,mashed_potato.n.01
student,potato,potato.n.01,immediate_hyponym,uruguay_potato.n.02
student,potato,potato.n.01,transitive_hyponym,baked_potato.n.01
student,potato,potato.n.01,transitive_hyponym,french_fries.n.01
student,potato,potato.n.01,transitive_hyponym,home_fries.n.01
student,potato,potato.n.01,transitive_hyponym,jacket_potato.n.01
student,potato,potato.n.01,transitive_hyponym,mashed_potato.n.01
student,potato,potato.n.01,transitive_hyponym,uruguay_potato.n.02
student,tiger,tiger.n.02,first_hypernym,big_cat.n.01
student,tiger,tiger.n.02,immediate_hyponym,bengal_tiger.n.01
student,tiger,tiger.n.02,immediate_hyponym,tiger_cub.n.01
student,tiger,tiger.n.02,immediate_hyponym,tigress.n.01
student,tiger,tiger.n.02,transitive_hyponym,bengal_tiger.n.01
student,tiger,tiger.n.02,transitive_hyponym,tiger_cub.n.01
student,tiger,tiger.n.02,transitive_hyponym,tigress.n.01
