pair,source_word,relation,word,frequency,synsets
assignment,house,synonyms,family,66,family.n.01
assignment,house,synonyms,firm,26,firm.n.01
assignment,house,synonyms,theatre,9,theater.n.01
assignment,house,synonyms,household,8,family.n.01
assignment,house,synonyms,theater,7,theater.n.01
assignment,house,synonyms,sign,2,sign_of_the_zodiac.n.01
assignment,house,synonyms,business_firm,1,firm.n.01
assignment,house,synonyms,domiciliate,0,house.v.02
assignment,house,synonyms,home,0,family.n.01
assignment,house,synonyms,mansion,0,sign_of_the_zodiac.n.01
assignment,house,synonyms,menage,0,family.n.01
assignment,house,synonyms,planetary_house,0,sign_of_the_zodiac.n.01
assignment,house,synonyms,put_up,0,house.v.02
assignment,house,synonyms,sign_of_the_zodiac,0,sign_of_the_zodiac.n.01
assignment,house,synonyms,star_sign,0,sign_of_the_zodiac.n.01
assignment,train,synonyms,aim,8,aim.v.01
assignment,train,synonyms,prepare,7,prepare.v.05; train.v.01; train.v.02
assignment,train,synonyms,develop,5,train.v.01
assignment,train,synonyms,direct,5,aim.v.01
assignment,train,synonyms,discipline,4,discipline.v.01
assignment,train,synonyms,educate,4,educate.v.03; train.v.01
assignment,train,synonyms,take,4,aim.v.01
assignment,train,synonyms,coach,2,coach.v.01
assignment,train,synonyms,caravan,1,caravan.n.01
assignment,train,synonyms,condition,1,discipline.v.01
assignment,train,synonyms,groom,1,prepare.v.05
assignment,train,synonyms,railroad_train,1,train.n.01
assignment,train,synonyms,string,1,string.n.04
assignment,train,synonyms,take_aim,1,aim.v.01
assignment,train,synonyms,check,0,discipline.v.01
assignment,train,synonyms,civilise,0,educate.v.03
assignment,train,synonyms,civilize,0,educate.v.03
assignment,train,synonyms,cultivate,0,educate.v.03
assignment,train,synonyms,gear,0,gearing.n.01
assignment,train,synonyms,gearing,0,gearing.n.01
assignment,train,synonyms,geartrain,0,gearing.n.01
assignment,train,synonyms,power_train,0,gearing.n.01
assignment,train,synonyms,rail,0,train.v.10
assignment,train,synonyms,school,0,educate.v.03
assignment,train,synonyms,trail,0,trail.v.05
assignment,train,synonyms,wagon_train,0,caravan.n.01
student,potato,synonyms,irish_potato,0,potato.n.01
student,potato,synonyms,murphy,0,potato.n.01
student,potato,synonyms,solanum_tuberosum,0,potato.n.02
student,potato,synonyms,spud,0,potato.n.01
student,potato,synonyms,tater,0,potato.n.01
student,potato,synonyms,white_potato,0,potato.n.01; potato.n.02
student,potato,synonyms,white_potato_vine,0,potato.n.02
student,tiger,synonyms,panthera_tigris,0,tiger.n.02
