document,token,tag
D1,know,VB
D1,donald,JJ
D1,trump,NN
D1,feel,VB
D1,need,RB
D1,adhere,RB
D1,normal,JJ
D1,rule,JJ
D1,political,JJ
D1,campaign,NN
D1,even,RB
D1,unconventional,JJ
D1,standard,NN
D1,extravagant,JJ
D1,promise,NN
D1,pay,NN
D1,every,DT
D1,american,JJ
D1,citizen,NN
D1,republican,JJ
D1,win,JJ
D1,midterm,JJ
D1,election,NN
D1,bizarre,RB
D1,enormous,JJ
D1,cash,NN
D1,pledge,NN
D1,headline,JJ
D1,keynote,NN
D1,address,NN
D1,first,RB
D1,night,NN
D1,midterm,JJ
D1,republican,JJ
D1,convention,NN
D1,wednesday,NN
D1,slip,NN
D1,mention,NN
D1,hour,NN
D1,lengthy,JJ
D1,speech,NN
D1,audience,NN
D1,attention,NN
D1,start,VBP
D1,waver,WDT
D1,president,NN
D1,offer,NN
D1,detail,NN
D1,pledge,NN
D1,pay,NN
D1,payment,NN
D1,would,MD
D1,distribute,VB
D1,asked,JJ
D1,information,NN
D1,white,JJ
D1,house,NN
D1,say,VBP
D1,statement,NN
D1,announcement,NN
D1,late,JJ
D1,proof,NN
D1,president,NN
D1,trump,NN
D1,expert,NN
D1,say,VBP
D1,do,VBP
D1,delivers,NNS
D1,american,JJ
D1,people,NNS
D1,give,VBP
D1,specific,JJ
D1,would,MD
D1,implement,VB
D1,announcement,NN
D1,meet,NN
D1,enthusiastic,JJ
D1,applause,NN
D1,supporter,NN
D1,inside,IN
D1,republican,JJ
D1,convention,NN
D1,arena,IN
D1,dallas,NNS
D1,texas,JJ
D1,republican,JJ
D1,tight,NN
D1,race,NN
D1,november,NNP
D1,election,NN
D1,need,NN
D1,win,VBP
D1,sceptical,JJ
D1,swing,NN
D1,voter,NN
D1,include,VBP
D1,moderate,JJ
D1,republican,JJ
D1,independent,JJ
D1,largely,RB
D1,stay,VBP
D1,away,RB
D1,event,NN
D1,many,JJ
D1,trump,NN
D1,fellow,JJ
D1,republican,JJ
D1,clearly,RB
D1,take,VBP
D1,surprise,NN
D1,welcome,JJ
D1,announcement,NN
D1,republican,JJ
D1,critical,JJ
D1,trump,NN
D1,quick,JJ
D1,denounce,NN
D1,conservative,JJ
D1,clash,NN
D1,trump,NN
D1,especially,RB
D1,federal,JJ
D1,debt,NN
D1,continue,NN
D1,balloon,NN
D1,presidency,NN
D1,scathing,VBG
D1,response,NN
D1,thomas,NN
D1,massie,JJ
D1,republican,JJ
D1,representative,NN
D1,kentucky,NN
D1,lose,VBP
D1,primary,JJ
D1,trump,NN
D1,criticism,NN
D1,earlier,RBR
D1,year,NN
D1,post,NN
D1,know,VBP
D1,frankly,RB
D1,insulted,VBN
D1,notion,NN
D1,vote,NN
D1,november,NN
D1,could,MD
D1,buy,VB
D1,mention,NN
D1,inflation,NN
D1,would,MD
D1,cause,VB
D1,thing,NN
D1,consider,VB
D1,good,JJ
D1,conscience,NN
D1,accept,VBD
D1,penny,RB
D1,less,JJR
D1,senator,JJ
D1,susan,NN
D1,collins,NNS
D1,swerve,VBP
D1,dallas,NNS
D1,campaign,NN
D1,maine,NN
D1,face,NN
D1,tight,JJ
D1,race,NN
D1,say,VBP
D1,tax,NN
D1,spending,NN
D1,decision,NN
D1,make,VBP
D1,base,NN
D1,need,JJ
D1,american,JJ
D1,people,NNS
D1,state,NN
D1,economy,NN
D1,appear,VBP
D1,tie,JJ
D1,election,NN
D1,result,NN
D1,democrats,NNS
D1,part,NN
D1,label,VBP
D1,empty,JJ
D1,promise,NN
D1,legal,JJ
D1,expert,NNS
D1,say,VBP
D1,unlikely,JJ
D1,trump,NN
D1,could,MD
D1,approve,VB
D1,vast,JJ
D1,sum,NN
D1,via,IN
D1,presidential,JJ
D1,executive,NN
D1,order,NN
D1,president,NN
D1,suggest,JJS
D1,thursday,NN
D1,would,MD
D1,go,VB
D1,congress,JJ
D1,speak,JJ
D1,bbc,NN
D1,partner,NN
D1,cbs,NNS
D1,say,VBP
D1,think,VBP
D1,congress,NN
D1,would,MD
D1,need,VB
D1,approve,VB
D1,spend,VB
D1,add,JJ
D1,think,VBP
D1,need,MD
D1,plenty,VB
D1,fiscally,RB
D1,conservative,JJ
D1,republican,JJ
D1,representative,NN
D1,would,MD
D1,likely,RB
D1,refuse,VB
D1,support,NN
D1,kind,NN
D1,spending,NN
D1,former,JJ
D1,republican,JJ
D1,representative,NN
D1,bob,NN
D1,good,JJ
D1,dismiss,JJ
D1,trump,NN
D1,dividend,NN
D1,socialist,JJ
D1,scheme,JJ
D1,convention,NN
D1,reminder,NN
D1,trump,NN
D1,still,RB
D1,dominate,VB
D1,party,NN
D1,house,NN
D1,representative,JJ
D1,least,JJS
D1,previously,RB
D1,make,VB
D1,bend,NN
D1,policy,NN
D1,chime,JJ
D1,traditional,JJ
D1,conservative,JJ
D1,position,NN
D1,first,JJ
D1,time,NN
D1,president,NN
D1,trump,NNS
D1,make,VBP
D1,cash,NN
D1,promise,NN
D1,voter,NN
D1,american,JJ
D1,still,RB
D1,wait,VBP
D1,cheque,NNS
D1,say,VBP
D1,would,MD
D1,receive,VB
D1,revenue,NN
D1,generate,NN
D1,trade,NN
D1,tariff,NN
D1,payment,NN
D1,elon,NN
D1,musk,NN
D1,propose,NN
D1,would,MD
D1,come,VB
D1,doge,NN
D1,spending,NN
D1,cut,NN
D1,never,RB
D1,materialise,RB
D1,trump,JJ
D1,deliver,RB
D1,promise,VBP
D1,set,VBN
D1,trump,NN
D1,save,NN
D1,account,NN
D1,government,NN
D1,contribution,NN
D1,child,NN
D1,born,JJ
D1,term,NN
D1,office,NN
D1,member,NN
D1,military,JJ
D1,get,VB
D1,payment,NN
D1,celebrate,NN
D1,america,NN
D1,anniversary,JJ
D1,sign,NN
D1,donald,NN
D1,trump,VBP
D1,fear,NN
D1,course,NN
D1,major,JJ
D1,defeat,NN
D1,november,NN
D1,feel,VBP
D1,need,RB
D1,make,VBP
D1,kind,NN
D1,election,NN
D1,promise,NN
D1,despite,IN
D1,president,NN
D1,feature,NN
D1,ballot,NN
D1,voter,NN
D1,often,RB
D1,treat,JJ
D1,midterm,JJ
D1,election,NN
D1,referendum,NN
D1,sit,NN
D1,president,NN
D1,often,RB
D1,party,NN
D1,power,NN
D1,struggle,NN
D1,less,RBR
D1,two,CD
D1,month,NN
D1,election,NN
D1,day,NN
D1,trump,VB
D1,face,NN
D1,historically,RB
D1,low,JJ
D1,approval,NN
D1,rating,NN
D1,war,NN
D1,iran,VBD
D1,become,JJ
D1,increasingly,RB
D1,unpopular,JJ
D1,effect,NN
D1,hit,VBD
D1,american,JJ
D1,petrol,NN
D1,pump,NN
D1,affordability,NN
D1,still,RB
D1,top,JJ
D1,issue,NN
D1,voter,NN
D1,inflation,NN
D1,peak,NN
D1,joe,NN
D1,biden,NN
D1,remain,VBP
D1,stubbornly,RB
D1,high,JJ
D1,pledge,NN
D1,suggest,VBP
D1,element,NN
D1,panic,JJ
D1,pull,NN
D1,policy,NN
D1,back,RB
D1,pocket,RB
D1,many,JJ
D1,close,RB
D1,ally,RB
D1,tell,VBP
D1,undoubtedly,RB
D1,highly,RB
D1,unorthodox,JJ
D1,way,NN
D1,launch,JJ
D1,major,JJ
D1,election,NN
D1,pledge,NN
D1,trump,VB
D1,political,JJ
D1,success,NN
D1,build,JJ
D1,way,NN
D1,business,NN
D1,late,JJ
D1,ploy,NN
D1,could,MD
D1,work,VB
D1,voter,RB
D1,believe,VBP
D1,serious,JJ
D1,writing,NN
D1,cheque,NN
D2,ukrainian,JJ
D2,official,NN
D2,say,VBP
D2,five,CD
D2,people,NNS
D2,kill,VBP
D2,others,NNS
D2,wound,IN
D2,russian,JJ
D2,drone,NN
D2,hit,VBD
D2,shop,NN
D2,mall,NN
D2,pavlohrad,VBP
D2,city,NN
D2,dnipropetrovsk,NN
D2,region,NN
D2,shop,NN
D2,vehicle,NN
D2,hit,VBD
D2,daylight,JJ
D2,attack,NN
D2,take,VB
D2,place,NN
D2,street,NN
D2,full,JJ
D2,people,NNS
D2,interior,JJ
D2,minister,NN
D2,ivan,NN
D2,vyhivskyi,NNS
D2,say,VBP
D2,two,CD
D2,shopping,VBG
D2,mall,JJ
D2,city,NN
D2,zaporizhzhia,NN
D2,sumy,NN
D2,target,NN
D2,russian,JJ
D2,air,NN
D2,strike,NN
D2,earlier,RBR
D2,week,NN
D2,accord,NN
D2,ukrainian,JJ
D2,medium,NN
D2,russia,NN
D2,report,NN
D2,ukrainian,JJ
D2,seaborne,JJ
D2,drone,NN
D2,attack,NN
D2,resort,NN
D2,city,NN
D2,sochi,NN
D2,overnight,JJ
D2,wednesday,NN
D2,people,NNS
D2,wound,VBP
D2,well,RB
D2,three,CD
D2,death,NN
D2,blame,NN
D2,ukrainian,JJ
D2,attack,NN
D2,war,NN
D2,rag,NN
D2,russia,NN
D2,ukraine,JJ
D2,since,IN
D2,russian,JJ
D2,president,NN
D2,vladimir,NN
D2,putin,NN
D2,launch,JJ
D2,invasion,NN
D2,four,CD
D2,half,NN
D2,year,NN
D2,ago,RB
D2,new,JJ
D2,peacemaking,VBG
D2,effort,NN
D2,envoy,FW
D2,sent,VBD
D2,president,NN
D2,donald,NN
D2,trump,VBP
D2,weekend,NN
D2,appear,NN
D2,yielded,VBN
D2,concrete,JJ
D2,result,NN
D2,talk,NN
D2,moscow,NN
D2,putin,NN
D2,kyiv,JJ
D2,ukrainian,JJ
D2,president,NN
D2,volodymyr,NN
D2,zelensky,NNP
D2,image,NN
D2,release,NN
D2,state,NN
D2,emergency,NN
D2,service,NN
D2,ukraine,JJ
D2,show,NN
D2,firefighter,RBR
D2,direct,JJ
D2,water,NN
D2,hose,JJ
D2,burn,NN
D2,vehicle,NN
D2,amid,IN
D2,cloud,JJ
D2,smoke,NN
D2,street,NN
D2,pavlohrad,JJ
D2,telegram,VBZ
D2,post,NN
D2,regional,JJ
D2,governor,NN
D2,oleksandr,NN
D2,hanzha,NNS
D2,say,VBP
D2,people,NNS
D2,injured,JJ
D2,eight,CD
D2,child,NN
D2,zelensky,NN
D2,offer,NN
D2,condolence,NN
D2,family,NN
D2,love,VB
D2,one,CD
D2,kill,NN
D2,thursday,JJ
D2,attack,NN
D2,russian,NN
D2,use,NN
D2,drone,NN
D2,kill,NN
D2,people,NNS
D2,simply,RB
D2,stand,VBP
D2,near,IN
D2,shop,NN
D2,centre,NN
D2,ukraine,JJ
D2,president,NN
D2,say,VBP
D2,statement,NN
D2,ukrainian,JJ
D2,foreign,JJ
D2,minister,NN
D2,andrii,NN
D2,sybiha,NN
D2,call,NN
D2,drone,NN
D2,attack,NN
D2,tactic,JJ
D2,coercion,NN
D2,russia,NN
D2,believe,VBP
D2,relentless,NN
D2,attack,NN
D2,civilian,JJ
D2,exhaust,NN
D2,ukrainian,JJ
D2,force,NN
D2,ukraine,JJ
D2,concession,NN
D2,say,VBP
D2,pavlohrad,NN
D2,logistics,NNS
D2,hub,VBP
D2,near,IN
D2,central,JJ
D2,city,NN
D2,dnipro,NN
D2,come,VBP
D2,heavy,JJ
D2,attack,NN
D2,previously,RB
D2,two,CD
D2,people,NNS
D2,kill,VBP
D2,attack,RB
D2,warehouse,IN
D2,last,JJ
D2,month,NN
D2,ukrainian,JJ
D2,official,NN
D2,say,VBP
D2,russian,JJ
D2,drone,NN
D2,attack,NN
D2,mall,NN
D2,sumy,NN
D2,wednesday,NN
D2,kill,VB
D2,two,CD
D2,people,NNS
D2,wound,IN
D2,thursday,JJ
D2,russian,JJ
D2,aerial,NN
D2,bomb,NN
D2,reportedly,RB
D2,injured,JJ
D2,eight,CD
D2,people,NNS
D2,sumy,VBP
D2,include,VBP
D2,three,CD
D2,child,JJ
D2,zaporizhzhia,NNP
D2,capital,NN
D2,region,NN
D2,name,NN
D2,partially,RB
D2,annexed,JJ
D2,russia,NN
D2,soon,RB
D2,invasion,NN
D2,shop,NN
D2,mall,NN
D2,almost,RB
D2,completely,RB
D2,destroyed,JJ
D2,monday,NN
D2,owner,NN
D2,report,NN
D2,however,RB
D2,closed,VBD
D2,time,NN
D2,immediate,JJ
D2,report,NN
D2,casualty,NN
D2,one,CD
D2,bloody,NN
D2,attack,NN
D2,shop,NN
D2,centre,VBZ
D2,come,VBN
D2,last,JJ
D2,month,NN
D2,ukrainian,JJ
D2,official,NN
D2,say,VBP
D2,russian,JJ
D2,drone,NN
D2,kill,VB
D2,least,JJS
D2,people,NNS
D2,injured,JJ
D2,city,NN
D2,kryvyi,NN
D2,rih,NN
D2,shopping,VBG
D2,mall,JJ
D2,part,NN
D2,ukraine,NN
D2,also,RB
D2,come,VBP
D2,attack,NN
D2,ukrainian,JJ
D2,drone,NN
D2,attack,NN
D2,report,NN
D2,monday,NN
D2,mall,VB
D2,port,JJ
D2,city,NN
D2,mariupol,NN
