pair,group,first,second,path,wup,path_synsets,wup_synsets
assignment,house synonyms × train synonyms,family,aim,0.111111,0.375,class.n.01; aim.n.02,kin.n.01; bearing.n.02
assignment,house synonyms × train synonyms,family,prepare,,,,
assignment,house synonyms × train synonyms,family,develop,,,,
assignment,house synonyms × train synonyms,family,direct,,,,
assignment,house synonyms × train synonyms,family,discipline,0.142857,0.4,class.n.01; discipline.n.03,class.n.01; discipline.n.03
assignment,house synonyms × train synonyms,family,educate,,,,
assignment,house synonyms × train synonyms,family,take,0.083333,0.266667,class.n.01; return.n.06,class.n.01; return.n.06
assignment,house synonyms × train synonyms,family,coach,0.166667,0.631579,kin.n.01; coach.n.01,kin.n.01; coach.n.01
assignment,house synonyms × train synonyms,family,caravan,0.25,0.727273,class.n.01; caravan.n.01,class.n.01; caravan.n.01
assignment,house synonyms × train synonyms,family,condition,0.142857,0.4,class.n.01; condition.n.01,class.n.01; condition.n.01
assignment,house synonyms × train synonyms,family,groom,0.2,0.6,kin.n.01; groom.n.03,kin.n.01; groom.n.01
assignment,house synonyms × train synonyms,family,railroad_train,0.090909,0.444444,kin.n.01; train.n.01,kin.n.01; train.n.01
assignment,house synonyms × train synonyms,family,string,0.333333,0.8,class.n.01; string.n.09,class.n.01; string.n.09
assignment,house synonyms × train synonyms,family,take_aim,,,,
assignment,house synonyms × train synonyms,family,check,0.125,0.444444,class.n.01; arrest.n.02,kin.n.01; check.n.10
assignment,house synonyms × train synonyms,family,civilise,,,,
assignment,house synonyms × train synonyms,family,civilize,,,,
assignment,house synonyms × train synonyms,family,cultivate,,,,
assignment,house synonyms × train synonyms,family,gear,0.1,0.470588,kin.n.01; gear.n.04,kin.n.01; gear.n.04
assignment,house synonyms × train synonyms,family,gearing,0.076923,0.4,kin.n.01; gearing.n.01,kin.n.01; gearing.n.01
assignment,house synonyms × train synonyms,family,geartrain,0.076923,0.4,kin.n.01; gearing.n.01,kin.n.01; gearing.n.01
assignment,house synonyms × train synonyms,family,power_train,0.076923,0.4,kin.n.01; gearing.n.01,kin.n.01; gearing.n.01
assignment,house synonyms × train synonyms,family,rail,0.111111,0.555556,family.n.01; rail.n.02,family.n.01; rail.n.02
